coach,team,year_w_team,season
Stephen Silas,HOU,1,2020-2021
Nate Bjorkgren,IND,1,2020-2021
Tyronn Lue,LAC,1,2020-2021
Frank Vogel,LAL,2,2020-2021
Taylor Jenkins,MEM,2,2020-2021
Erik Spoelstra,MIA,13,2020-2021
Mike Budenholzer,MIL,3,2020-2021
Ryan Saunders,MIN,3,2020-2021
Chris Finch,MIN,1,2020-2021
Stan Van Gundy,NOP,1,2020-2021
Tom Thibodeau,NYK,1,2020-2021
Mark Daigneault,OKC,1,2020-2021
Steve Clifford,ORL,3,2020-2021
Doc Rivers,PHI,1,2020-2021
Monty Williams,PHO,2,2020-2021
Terry Stotts,POR,9,2020-2021
Luke Walton,SAC,2,2020-2021
Gregg Popovich,SAS,25,2020-2021
Nick Nurse,TOR,3,2020-2021
Quin Snyder,UTA,7,2020-2021
Scott Brooks,WAS,5,2020-2021
Nate McMillan,ATL,2,2021-2022
Ime Udoka,BOS,1,2021-2022
Steve Nash,BRK,2,2021-2022
Billy Donovan,CHI,2,2021-2022
James Borrego,CHO,4,2021-2022
J.B. Bickerstaff,CLE,3,2021-2022
Jason Kidd,DAL,1,2021-2022
Michael Malone,DEN,7,2021-2022
Dwane Casey,DET,4,2021-2022
Steve Kerr,GSW,8,2021-2022
Stephen Silas,HOU,2,2021-2022
Rick Carlisle,IND,5,2021-2022
Tyronn Lue,LAC,2,2021-2022
Frank Vogel,LAL,3,2021-2022
Taylor Jenkins,MEM,3,2021-2022
Erik Spoelstra,MIA,14,2021-2022
Mike Budenholzer,MIL,4,2021-2022
Chris Finch,MIN,2,2021-2022
Willie Green,NOP,1,2021-2022
Tom Thibodeau,NYK,2,2021-2022
Mark Daigneault,OKC,2,2021-2022
Jamahl Mosley,ORL,1,2021-2022
Doc Rivers,PHI,2,2021-2022
Monty Williams,PHO,3,2021-2022
Chauncey Billups,POR,1,2021-2022
Luke Walton,SAC,3,2021-2022
Alvin Gentry,SAC,1,2021-2022
Gregg Popovich,SAS,26,2021-2022
Nick Nurse,TOR,4,2021-2022
Quin Snyder,UTA,8,2021-2022
